Quarter,State,Colonies_Added_And_Replaced,Max_Colonies,Pct_Affected_Deadout,Pct_Affected_Disease,Pct_Affected_Other,Pct_Affected_Pesticides,Pct_Affected_Pests,Pct_Affected_Unknown,Pct_Affected_Varroa_Mites,Num_Renovated,Pct_Renovated,Max_Colonies_Pct_Change,Pct_Affected_Colony_Collapse_Disorder
2019_Q1,ALABAMA,800.0,5500.0,12.0,1.8,3.1,0.3,22.7,9.0,27.2,200.0,4.0,-15.384615384615385,2.5454545454545454
2019_Q3,ALABAMA,160.0,7000.0,14.0,2.9,9.7,0.2,24.6,6.4,30.6,330.0,5.0,27.27272727272727,2.571428571428571
2019_Q4,ALABAMA,240.0,6000.0,11.0,0.6,9.0,4.9,26.7,11.3,46.7,70.0,1.0,-14.285714285714285,1.8333333333333333
2020_Q1,ALABAMA,1900.0,7000.0,6.0,0.0,1.7,0.1,3.4,4.3,12.4,780.0,11.0,16.666666666666664,1.0
2020_Q2,ALABAMA,4700.0,8500.0,48.0,1.6,7.9,7.7,18.0,9.5,28.5,2600.0,31.0,21.428571428571427,4.823529411764706
2020_Q3,ALABAMA,1800.0,19000.0,19.0,0.0,5.4,12.0,29.1,11.7,64.9,990.0,5.0,123.52941176470588,1.263157894736842
2020_Q4,ALABAMA,750.0,17000.0,6.0,15.4,2.3,2.0,43.2,16.9,50.8,60.0,,-10.526315789473683,0.411764705882353
2021_Q1,ALABAMA,670.0,10000.0,11.0,0.0,3.1,,30.3,4.0,52.2,200.0,2.0,-41.17647058823529,2.7
2021_Q2,ALABAMA,3400.0,9500.0,28.0,0.5,5.8,2.1,35.0,7.4,55.2,930.0,10.0,-5.0,0.9473684210526316
2021_Q3,ALABAMA,950.0,9500.0,15.0,0.9,16.3,11.0,25.9,1.9,37.4,280.0,3.0,0.0,1.789473684210526
2021_Q4,ALABAMA,360.0,9000.0,12.0,3.5,2.5,6.8,44.7,1.4,60.8,10.0,,-5.263157894736842,1.7777777777777777
2022_Q1,ALABAMA,1600.0,11500.0,10.0,0.0,10.8,3.7,17.0,5.3,36.9,520.0,5.0,27.77777777777778,0.6086956521739131
2022_Q2,ALABAMA,4600.0,12000.0,13.0,1.0,17.9,6.9,14.3,3.7,36.0,1900.0,16.0,4.3478260869565215,2.25
2022_Q3,ALABAMA,870.0,14000.0,14.0,0.5,5.5,4.2,25.7,4.0,70.7,2000.0,14.0,16.666666666666664,1.9285714285714284
2022_Q4,ALABAMA,900.0,11000.0,10.0,0.0,5.6,0.6,9.7,6.7,23.1,560.0,5.0,-21.428571428571427,0.9090909090909091
2023_Q1,ALABAMA,2000.0,14000.0,10.0,0.7,9.9,1.5,18.3,8.3,31.9,880.0,6.0,27.27272727272727,1.5
2023_Q2,ALABAMA,4200.0,15500.0,13.0,2.1,4.4,1.0,10.4,9.1,37.1,3800.0,25.0,10.714285714285714,1.6129032258064515
2015_Q1,ARIZONA,3400.0,35000.0,13.0,0.1,1.8,0.0,20.5,3.1,26.9,2100.0,6.0,,
2015_Q2,ARIZONA,19500.0,33000.0,17.0,0.5,28.2,20.1,32.1,0.3,8.4,7000.0,21.0,-5.714285714285714,
2015_Q3,ARIZONA,4300.0,40000.0,15.0,5.4,7.6,17.3,24.8,5.1,53.5,15500.0,39.0,21.21212121212121,
2015_Q4,ARIZONA,3000.0,39000.0,31.0,1.1,0.5,3.5,1.7,15.5,50.1,16000.0,41.0,-2.5,
2016_Q1,ARIZONA,3500.0,30000.0,16.0,0.0,6.5,7.7,2.8,7.2,33.8,150.0,1.0,-23.076923076923077,
2016_Q2,ARIZONA,14000.0,23000.0,16.0,17.2,17.4,12.0,47.5,3.5,26.8,1600.0,7.0,-23.333333333333332,
2016_Q3,ARIZONA,3200.0,32000.0,19.0,0.9,13.4,13.5,1.0,8.9,41.7,2600.0,8.0,39.130434782608695,
2016_Q4,ARIZONA,4600.0,31000.0,21.0,2.3,4.3,6.5,15.5,3.2,98.8,3100.0,10.0,-3.125,
2017_Q1,ARIZONA,2900.0,32000.0,19.0,3.8,6.5,1.7,2.0,2.1,35.6,0.0,0.0,3.225806451612903,
2017_Q2,ARIZONA,12500.0,22000.0,12.0,19.7,20.4,12.4,15.9,0.7,58.4,3000.0,14.0,-31.25,
2017_Q3,ARIZONA,5000.0,26000.0,16.0,0.5,12.4,1.1,0.4,6.3,19.8,3200.0,12.0,18.181818181818183,
2017_Q4,ARIZONA,1300.0,30000.0,22.0,2.3,4.1,1.6,4.2,0.1,61.6,1100.0,4.0,15.384615384615385,
2018_Q1,ARIZONA,810.0,26000.0,23.0,4.6,7.9,15.3,4.3,4.2,36.3,230.0,1.0,-13.333333333333334,
2018_Q2,ARIZONA,14000.0,19500.0,13.0,32.8,14.3,0.8,7.2,4.1,73.8,2100.0,11.0,-25.0,
2018_Q3,ARIZONA,3200.0,31000.0,26.0,4.5,15.0,3.8,2.3,27.6,52.5,3100.0,10.0,58.97435897435898,
2018_Q4,ARIZONA,2200.0,27000.0,19.0,3.1,7.1,,8.3,3.0,20.6,330.0,1.0,-12.903225806451612,
2019_Q1,ARIZONA,430.0,22000.0,11.0,6.5,8.4,16.2,7.9,0.2,25.8,90.0,,-18.51851851851852,6.8181818181818175
2019_Q3,ARIZONA,5500.0,30000.0,7.0,2.7,13.2,11.4,9.9,0.6,29.0,3800.0,13.0,36.36363636363637,2.566666666666667
2019_Q4,ARIZONA,300.0,36000.0,19.0,0.4,4.0,23.3,1.5,2.9,53.9,300.0,1.0,20.0,9.444444444444445
2020_Q1,ARIZONA,3000.0,31000.0,27.0,,10.1,0.0,,9.0,31.7,120.0,,-13.88888888888889,13.870967741935484
2020_Q2,ARIZONA,14500.0,26000.0,5.0,,5.5,4.2,0.0,0.6,22.1,4700.0,18.0,-16.129032258064516,0.5384615384615384
2020_Q3,ARIZONA,2600.0,30000.0,27.0,1.9,9.3,1.7,,12.2,24.1,1800.0,6.0,15.384615384615385,18.333333333333332
2020_Q4,ARIZONA,5500.0,27000.0,15.0,,2.3,4.5,,18.3,22.5,600.0,2.0,-10.0,3.7037037037037033
2021_Q1,ARIZONA,4500.0,28000.0,23.0,6.0,0.5,0.0,6.1,3.8,6.7,4500.0,16.0,3.7037037037037033,3.571428571428571
2021_Q2,ARIZONA,12000.0,26000.0,17.0,3.6,7.1,1.2,0.0,6.9,7.4,3700.0,14.0,-7.142857142857142,5.0
2021_Q3,ARIZONA,2000.0,31000.0,21.0,0.7,5.4,6.6,1.5,10.6,20.3,2300.0,7.0,19.230769230769234,8.709677419354838
2021_Q4,ARIZONA,7500.0,23000.0,24.0,,1.8,3.3,35.2,0.9,67.2,,0.0,-25.806451612903224,1.652173913043478
2022_Q1,ARIZONA,720.0,32000.0,7.0,3.0,,,0.0,0.5,14.8,10.0,,39.130434782608695,4.0625
2022_Q2,ARIZONA,17500.0,32000.0,13.0,1.3,4.8,0.0,,,8.4,2800.0,9.0,0.0,2.5625
2022_Q3,ARIZONA,2900.0,25000.0,8.0,1.1,2.2,4.5,0.9,3.8,6.4,2100.0,8.0,-21.875,3.1199999999999997
2022_Q4,ARIZONA,1500.0,37000.0,14.0,0.9,3.1,0.0,0.5,1.8,17.9,570.0,2.0,48.0,5.405405405405405
2023_Q1,ARIZONA,290.0,34000.0,2.0,0.0,,,0.0,0.5,72.9,80.0,,-8.108108108108109,1.3235294117647058
2023_Q2,ARIZONA,4900.0,34000.0,25.0,2.1,0.7,0.0,0.0,,15.4,2400.0,7.0,0.0,0.08823529411764706
2015_Q1,ARKANSAS,1200.0,14000.0,11.0,1.5,1.0,3.4,11.4,1.0,17.6,90.0,1.0,,
2015_Q2,ARKANSAS,11500.0,13500.0,14.0,7.0,27.4,22.6,63.4,9.3,65.9,5500.0,41.0,-3.571428571428571,
2015_Q3,ARKANSAS,500.0,30000.0,30.0,0.9,1.8,5.0,32.4,1.4,69.2,210.0,1.0,122.22222222222223,
2015_Q4,ARKANSAS,1900.0,27000.0,9.0,0.1,8.5,8.2,9.7,0.6,38.1,0.0,0.0,-10.0,
2016_Q1,ARKANSAS,5000.0,27000.0,19.0,0.0,1.9,0.5,6.9,8.1,57.4,1100.0,4.0,0.0,
2016_Q2,ARKANSAS,12000.0,24000.0,14.0,5.5,3.4,0.1,8.5,1.6,84.9,1600.0,7.0,-11.11111111111111,
2016_Q3,ARKANSAS,270.0,32000.0,5.0,0.4,2.7,7.9,9.0,0.3,80.7,60.0,0.0,33.33333333333333,
2016_Q4,ARKANSAS,20.0,28000.0,9.0,0.0,1.1,1.3,4.8,3.3,21.1,10.0,0.0,-12.5,
2017_Q1,ARKANSAS,430.0,20000.0,18.0,0.1,3.0,0.5,14.6,1.0,31.5,230.0,1.0,-28.57142857142857,
2017_Q2,ARKANSAS,6000.0,24000.0,8.0,1.9,2.7,3.9,9.6,2.5,19.4,1300.0,5.0,20.0,
2017_Q3,ARKANSAS,4400.0,29000.0,21.0,0.0,9.3,17.0,9.1,2.3,61.4,410.0,1.0,20.833333333333336,
2017_Q4,ARKANSAS,2500.0,25000.0,30.0,26.6,24.1,31.0,29.2,0.4,37.5,440.0,2.0,-13.793103448275861,
2018_Q1,ARKANSAS,540.0,22000.0,34.0,1.0,4.6,23.0,9.6,13.9,21.1,810.0,4.0,-12.0,
2018_Q2,ARKANSAS,13000.0,16000.0,13.0,0.7,17.0,2.2,12.8,13.2,30.9,1900.0,12.0,-27.27272727272727,
2018_Q3,ARKANSAS,2600.0,29000.0,8.0,0.1,0.5,17.6,7.8,0.6,29.9,840.0,3.0,81.25,
2018_Q4,ARKANSAS,110.0,31000.0,19.0,0.0,5.3,73.5,7.1,2.2,82.8,230.0,1.0,6.896551724137931,
2019_Q1,ARKANSAS,20.0,28000.0,23.0,3.3,0.7,55.3,1.5,2.9,19.5,20.0,,-9.67741935483871,1.1428571428571428
2019_Q3,ARKANSAS,170.0,21000.0,10.0,6.8,6.9,50.5,19.7,39.3,53.2,680.0,3.0,-25.0,4.714285714285714
2019_Q4,ARKANSAS,430.0,19500.0,8.0,1.4,12.5,7.8,39.7,32.8,47.7,310.0,2.0,-7.142857142857142,2.871794871794872
2020_Q1,ARKANSAS,1800.0,16500.0,10.0,,,2.6,22.7,11.2,31.7,30.0,,-15.384615384615385,2.3636363636363638
2020_Q2,ARKANSAS,4900.0,17000.0,11.0,5.1,2.1,24.6,15.3,12.4,40.5,800.0,5.0,3.0303030303030303,5.294117647058823
2020_Q3,ARKANSAS,1500.0,22000.0,8.0,3.9,1.3,13.9,15.6,8.6,33.9,390.0,2.0,29.411764705882355,4.090909090909091
2020_Q4,ARKANSAS,380.0,23000.0,9.0,1.7,5.9,12.8,12.9,5.7,43.1,780.0,3.0,4.545454545454546,3.5652173913043477
2021_Q1,ARKANSAS,690.0,21000.0,23.0,0.0,3.8,13.2,18.3,2.5,27.2,130.0,1.0,-8.695652173913043,5.714285714285714
2021_Q2,ARKANSAS,9000.0,12500.0,13.0,5.7,2.0,2.8,21.9,3.6,42.2,5500.0,44.0,-40.476190476190474,3.2800000000000002
2021_Q3,ARKANSAS,2400.0,20000.0,9.0,3.2,5.8,30.6,32.9,4.9,42.3,1700.0,9.0,60.0,1.5
2021_Q4,ARKANSAS,920.0,18000.0,3.0,0.0,0.6,25.6,28.2,0.7,35.7,100.0,1.0,-10.0,1.3888888888888888
2022_Q1,ARKANSAS,780.0,21000.0,12.0,0.0,1.3,23.1,28.1,8.9,39.8,20.0,,16.666666666666664,2.571428571428571
2022_Q2,ARKANSAS,6500.0,23000.0,14.0,2.0,6.4,9.5,12.7,3.9,20.6,1200.0,5.0,9.523809523809524,1.608695652173913
2022_Q3,ARKANSAS,2100.0,26000.0,17.0,,7.0,13.0,12.6,4.8,25.1,370.0,1.0,13.043478260869565,3.8461538461538463
2022_Q4,ARKANSAS,110.0,22000.0,4.0,,,,2.7,0.6,9.9,30.0,,-15.384615384615385,4.0
2023_Q1,ARKANSAS,1200.0,23000.0,10.0,5.3,2.0,24.7,51.4,5.9,62.2,10.0,,4.545454545454546,5.6521739130434785
2023_Q2,ARKANSAS,6000.0,24000.0,8.0,2.8,1.9,7.4,13.1,3.1,22.4,2200.0,9.0,4.3478260869565215,5.833333333333333
2015_Q1,CALIFORNIA,250000.0,1690000.0,15.0,3.0,6.5,7.5,7.2,2.8,24.7,124000.0,7.0,,
2015_Q2,CALIFORNIA,170000.0,1050000.0,10.0,7.8,14.2,23.0,21.5,3.1,50.9,285000.0,27.0,-37.8698224852071,
2015_Q3,CALIFORNIA,40000.0,800000.0,10.0,12.5,15.0,19.6,20.4,4.7,39.9,93000.0,12.0,-23.809523809523807,
2015_Q4,CALIFORNIA,39000.0,1260000.0,12.0,6.2,10.5,11.7,12.7,7.3,37.3,75000.0,6.0,57.49999999999999,
2016_Q1,CALIFORNIA,210000.0,1410000.0,14.0,9.0,8.4,13.5,15.2,4.4,38.1,139000.0,10.0,11.904761904761903,
2016_Q2,CALIFORNIA,240000.0,1150000.0,9.0,11.2,15.3,14.2,14.1,2.6,49.7,185000.0,16.0,-18.439716312056735,
2016_Q3,CALIFORNIA,33000.0,820000.0,10.0,8.5,10.4,18.8,17.8,6.9,42.2,78000.0,10.0,-28.695652173913043,
2016_Q4,CALIFORNIA,40000.0,1330000.0,15.0,8.0,9.6,9.1,13.7,3.5,41.9,35000.0,3.0,62.19512195121951,
2017_Q1,CALIFORNIA,137000.0,1470000.0,13.0,7.5,6.6,9.2,12.6,6.3,37.7,93000.0,6.0,10.526315789473683,
2017_Q2,CALIFORNIA,160000.0,990000.0,9.0,3.1,4.8,13.0,7.7,3.4,38.0,220000.0,22.0,-32.6530612244898,
2017_Q3,CALIFORNIA,73000.0,670000.0,10.0,5.6,10.1,13.4,15.8,3.6,42.3,74000.0,11.0,-32.323232323232325,
2017_Q4,CALIFORNIA,90000.0,1200000.0,13.0,7.4,17.1,17.0,14.1,6.3,47.9,104000.0,9.0,79.1044776119403,
2018_Q1,CALIFORNIA,205000.0,1540000.0,14.0,4.8,8.0,11.5,11.3,4.9,41.3,133000.0,9.0,28.333333333333332,
2018_Q2,CALIFORNIA,172000.0,1200000.0,9.0,11.1,9.0,13.7,10.2,5.0,41.5,255000.0,21.0,-22.07792207792208,
2018_Q3,CALIFORNIA,63000.0,700000.0,10.0,4.5,12.0,17.8,6.6,3.6,57.3,141000.0,20.0,-41.66666666666667,
2018_Q4,CALIFORNIA,86000.0,1200000.0,14.0,9.8,9.3,11.6,16.6,7.1,44.1,46000.0,4.0,71.42857142857143,
2019_Q1,CALIFORNIA,83000.0,1580000.0,15.0,6.4,8.7,12.3,13.4,5.6,43.5,86000.0,5.0,31.666666666666664,0.8860759493670887
2019_Q3,CALIFORNIA,87000.0,700000.0,13.0,8.7,11.1,16.0,11.5,3.2,49.0,108000.0,15.0,-55.69620253164557,1.7142857142857144
2019_Q4,CALIFORNIA,160000.0,1300000.0,10.0,5.2,8.0,11.3,10.9,5.0,40.5,37000.0,3.0,85.71428571428571,1.4230769230769231
2020_Q1,CALIFORNIA,240000.0,1710000.0,13.0,5.0,5.3,5.3,6.0,4.2,22.4,66000.0,4.0,31.538461538461537,1.1111111111111112
2020_Q2,CALIFORNIA,175000.0,1200000.0,8.0,3.9,7.6,5.5,4.8,3.1,33.6,240000.0,20.0,-29.82456140350877,0.26666666666666666
2020_Q3,CALIFORNIA,61000.0,700000.0,10.0,7.3,8.1,6.3,11.4,3.6,33.9,108000.0,15.0,-41.66666666666667,1.5
2020_Q4,CALIFORNIA,120000.0,1400000.0,12.0,7.1,4.2,4.8,11.1,4.0,45.5,58000.0,4.0,100.0,1.5
2021_Q1,CALIFORNIA,189000.0,1600000.0,17.0,1.7,6.2,7.2,5.7,3.4,29.9,84000.0,5.0,14.285714285714285,0.375
2021_Q2,CALIFORNIA,165000.0,1060000.0,11.0,7.7,11.6,16.1,11.5,3.8,42.4,180000.0,17.0,-33.75,0.9433962264150944
2021_Q3,CALIFORNIA,47000.0,680000.0,4.0,14.2,11.0,13.0,16.5,5.0,39.6,51000.0,8.0,-35.84905660377358,1.5441176470588236
2021_Q4,CALIFORNIA,15000.0,1210000.0,4.0,3.7,2.8,1.9,4.8,2.0,14.6,29000.0,2.0,77.94117647058823,0.8264462809917356
2022_Q1,CALIFORNIA,139000.0,1520000.0,11.0,3.3,3.9,5.3,7.2,4.2,29.7,95000.0,6.0,25.6198347107438,0.9210526315789472
2022_Q2,CALIFORNIA,152000.0,1040000.0,10.0,4.8,20.3,6.6,16.2,3.7,41.1,120000.0,12.0,-31.57894736842105,0.576923076923077
2022_Q3,CALIFORNIA,11000.0,660000.0,4.0,4.3,9.8,6.2,7.2,7.9,30.4,57000.0,9.0,-36.53846153846153,1.5909090909090908
2022_Q4,CALIFORNIA,30000.0,1050000.0,6.0,18.8,27.1,19.0,24.8,3.4,48.6,58000.0,6.0,59.09090909090909,1.8571428571428572
2023_Q1,CALIFORNIA,88000.0,1330000.0,15.0,11.3,23.0,14.1,18.2,16.7,48.7,48000.0,4.0,26.666666666666668,1.4285714285714286
2023_Q2,CALIFORNIA,131000.0,930000.0,6.0,4.0,11.3,4.5,3.3,4.1,41.6,112000.0,12.0,-30.075187969924812,0.3118279569892473
2015_Q1,COLORADO,200.0,12500.0,12.0,1.8,2.6,0.6,0.9,5.9,14.6,140.0,1.0,,
2015_Q2,COLORADO,6000.0,25000.0,8.0,4.6,3.4,2.8,1.8,6.6,38.6,3500.0,14.0,100.0,
2015_Q3,COLORADO,1400.0,30000.0,15.0,2.7,3.7,16.5,1.5,2.7,50.5,1400.0,5.0,20.0,
2015_Q4,COLORADO,3400.0,24000.0,10.0,21.2,8.4,19.7,24.4,1.8,47.6,0.0,0.0,-20.0,
2016_Q1,COLORADO,1700.0,8500.0,9.0,0.5,2.7,0.2,4.1,0.2,2.9,10.0,0.0,-64.58333333333334,
2016_Q2,COLORADO,9000.0,29000.0,6.0,3.3,2.6,1.4,0.8,0.3,38.7,680.0,2.0,241.17647058823528,
2016_Q3,COLORADO,1100.0,37000.0,18.0,16.8,10.6,24.6,22.4,0.1,49.3,740.0,2.0,27.586206896551722,
2016_Q4,COLORADO,2500.0,30000.0,15.0,0.1,13.0,3.1,1.3,0.1,32.4,0.0,0.0,-18.91891891891892,
2017_Q1,COLORADO,100.0,21000.0,5.0,,2.6,0.9,,0.4,17.0,0.0,0.0,-30.0,
2017_Q2,COLORADO,8000.0,31000.0,15.0,5.3,4.6,3.2,0.8,0.1,31.3,7500.0,24.0,47.61904761904761,
2017_Q3,COLORADO,2900.0,42000.0,10.0,2.6,7.8,9.1,1.4,1.4,52.9,6410.0,15.0,35.483870967741936,
2017_Q4,COLORADO,1500.0,34000.0,21.0,0.2,15.5,20.0,0.7,5.3,30.2,4000.0,12.0,-19.047619047619047,
2018_Q1,COLORADO,1400.0,21000.0,23.0,3.8,13.7,0.5,0.8,2.4,31.7,190.0,1.0,-38.23529411764706,
2018_Q2,COLORADO,12500.0,27000.0,11.0,12.7,4.2,3.6,,0.5,41.7,4700.0,17.0,28.57142857142857,
2018_Q3,COLORADO,1500.0,35000.0,14.0,5.6,8.5,2.9,16.6,4.5,72.6,5000.0,14.0,29.629629629629626,
2018_Q4,COLORADO,370.0,30000.0,12.0,1.0,6.1,,5.9,1.2,73.2,10.0,,-14.285714285714285,
2019_Q1,COLORADO,0.0,7500.0,4.0,0.0,2.5,0.0,0.3,0.6,11.2,0.0,0.0,-75.0,20.0
2019_Q3,COLORADO,2200.0,36000.0,26.0,4.8,9.4,10.2,12.5,1.0,79.8,3400.0,9.0,380.0,4.722222222222222
2019_Q4,COLORADO,1100.0,27000.0,30.0,0.0,2.6,15.3,1.5,0.8,67.7,440.0,2.0,-25.0,5.185185185185185
2020_Q1,COLORADO,4000.0,13000.0,5.0,,10.8,,0.0,2.4,20.8,500.0,4.0,-51.85185185185185,4.769230769230769
2020_Q2,COLORADO,7000.0,27000.0,8.0,,0.5,0.0,,2.5,35.4,2800.0,10.0,107.6923076923077,1.1481481481481481
2020_Q3,COLORADO,3800.0,29000.0,24.0,,6.3,0.0,1.1,19.8,23.1,5500.0,19.0,7.4074074074074066,0.2413793103448276
2020_Q4,COLORADO,930.0,19000.0,26.0,,0.9,0.0,0.0,1.5,14.9,20.0,,-34.48275862068966,0.7894736842105263
2021_Q1,COLORADO,1000.0,16500.0,4.0,0.0,1.0,0.0,0.0,7.0,7.9,30.0,,-13.157894736842104,18.787878787878785
2021_Q2,COLORADO,6000.0,25000.0,34.0,0.0,0.5,,,2.9,56.1,1100.0,4.0,51.515151515151516,0.48
2021_Q3,COLORADO,1500.0,22000.0,8.0,2.9,6.4,0.0,,0.8,7.8,750.0,3.0,-12.0,1.5909090909090908
2021_Q4,COLORADO,200.0,13000.0,12.0,0.0,2.6,,,3.7,4.6,,0.0,-40.909090909090914,10.0
2022_Q1,COLORADO,0.0,8500.0,6.0,3.8,3.4,0.6,0.0,2.6,13.5,10.0,,-34.61538461538461,1.411764705882353
2022_Q2,COLORADO,8000.0,19500.0,7.0,0.6,26.5,,0.0,,31.0,2300.0,12.0,129.41176470588235,0.3076923076923077
2022_Q3,COLORADO,5000.0,24000.0,12.0,,2.2,0.0,0.0,5.4,14.4,120.0,1.0,23.076923076923077,0.4583333333333333
2022_Q4,COLORADO,1100.0,20000.0,10.0,,,,,4.5,5.3,70.0,,-16.666666666666664,0.5
2023_Q1,COLORADO,500.0,10000.0,5.0,0.0,0.9,,0.0,1.4,1.8,0.0,0.0,-50.0,1.5
2023_Q2,COLORADO,4500.0,33000.0,3.0,5.5,0.7,1.3,5.1,,64.4,1500.0,5.0,229.99999999999997,0.9090909090909091
2015_Q1,CONNECTICUT,290.0,3900.0,22.0,0.0,21.2,0.0,1.4,2.4,2.5,0.0,0.0,,
2015_Q2,CONNECTICUT,1100.0,3000.0,3.0,1.9,1.0,0.8,0.4,0.7,10.2,150.0,5.0,-23.076923076923077,
2015_Q3,CONNECTICUT,190.0,3700.0,1.0,0.4,7.8,1.5,1.2,0.0,39.3,440.0,12.0,23.333333333333332,
2015_Q4,CONNECTICUT,40.0,3200.0,7.0,0.5,3.4,1.1,1.7,2.0,10.5,70.0,2.0,-13.513513513513514,
2016_Q1,CONNECTICUT,70.0,2700.0,10.0,0.2,7.7,0.0,0.8,1.7,12.3,10.0,0.0,-15.625,
2016_Q2,CONNECTICUT,390.0,2500.0,4.0,0.5,4.4,0.3,0.6,1.2,9.3,60.0,2.0,-7.4074074074074066,
2016_Q3,CONNECTICUT,890.0,3100.0,9.0,0.0,5.0,0.2,1.6,0.8,18.8,180.0,6.0,24.0,
2016_Q4,CONNECTICUT,0.0,3100.0,8.0,1.1,5.8,1.0,6.6,3.2,14.7,0.0,0.0,0.0,
2017_Q1,CONNECTICUT,100.0,3100.0,12.0,0.0,6.1,0.0,1.5,5.6,51.5,110.0,4.0,0.0,
2017_Q2,CONNECTICUT,2200.0,3000.0,5.0,0.0,1.9,0.5,0.2,0.7,9.1,350.0,12.0,-3.225806451612903,
2017_Q3,CONNECTICUT,50.0,3500.0,4.0,0.1,13.0,0.0,1.5,0.0,25.1,20.0,1.0,16.666666666666664,
2017_Q4,CONNECTICUT,190.0,4000.0,8.0,0.0,1.6,0.6,2.8,1.6,36.4,110.0,3.0,14.285714285714285,
2018_Q1,CONNECTICUT,220.0,2900.0,5.0,0.0,7.7,0.8,0.7,3.5,14.5,330.0,11.0,-27.500000000000004,
2018_Q2,CONNECTICUT,340.0,3600.0,3.0,0.4,0.8,0.8,0.9,0.4,11.1,170.0,5.0,24.137931034482758,
2018_Q3,CONNECTICUT,80.0,3200.0,4.0,0.0,2.5,1.4,0.0,1.2,13.0,310.0,10.0,-11.11111111111111,
2018_Q4,CONNECTICUT,0.0,3500.0,6.0,2.3,4.2,0.9,3.6,2.3,12.5,60.0,2.0,9.375,
2019_Q1,CONNECTICUT,170.0,3100.0,9.0,0.0,3.6,0.0,1.3,1.7,10.1,10.0,,-11.428571428571429,2.903225806451613
2019_Q3,CONNECTICUT,70.0,4400.0,5.0,2.4,3.9,0.0,6.9,0.5,24.3,470.0,11.0,41.935483870967744,0.45454545454545453
2019_Q4,CONNECTICUT,10.0,4000.0,8.0,2.4,1.7,0.0,11.1,1.6,22.2,50.0,1.0,-9.090909090909092,0.25
2020_Q1,CONNECTICUT,360.0,3800.0,9.0,,2.8,0.0,2.9,3.0,11.2,,0.0,-5.0,0.2631578947368421
2020_Q2,CONNECTICUT,1200.0,4300.0,1.0,0.0,0.1,0.0,2.1,0.6,14.8,450.0,10.0,13.157894736842104,0.0
2020_Q3,CONNECTICUT,130.0,4700.0,6.0,0.0,4.0,0.0,1.4,0.0,20.2,150.0,3.0,9.30232558139535,1.702127659574468
2020_Q4,CONNECTICUT,20.0,4600.0,11.0,0.1,4.3,0.0,0.9,8.2,49.4,20.0,,-2.127659574468085,0.0
2021_Q1,CONNECTICUT,400.0,4200.0,19.0,0.0,1.6,0.5,3.5,1.0,17.8,50.0,1.0,-8.695652173913043,3.8095238095238098
2021_Q2,CONNECTICUT,1100.0,4000.0,2.0,0.1,1.0,,6.0,0.0,16.5,340.0,9.0,-4.761904761904762,0.25
2021_Q3,CONNECTICUT,140.0,4200.0,3.0,0.7,2.4,3.9,0.8,5.9,16.4,170.0,4.0,5.0,0.7142857142857143
