Quarter,State,"HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>"
2015_Q2,NEW MEXICO,1500.0,8500.0,,1000.0,12.0,15.5,0.4,5.9,0.0,2.7,38.8,330.0,4.0
2015_Q2,NEW YORK,11000.0,34000.0,,1100.0,3.0,4.5,3.3,4.4,12.5,1.1,19.1,1500.0,4.0
2015_Q2,NORTH CAROLINA,5500.0,23000.0,,1800.0,8.0,0.3,5.8,3.5,14.3,3.0,51.0,3300.0,14.0
2015_Q2,NORTH DAKOTA,39000.0,450000.0,,29000.0,6.0,0.1,4.6,4.3,3.0,0.3,15.5,61000.0,14.0
2015_Q2,OHIO,10000.0,19000.0,,2100.0,11.0,3.0,11.2,11.9,4.1,29.0,15.8,6000.0,32.0
2015_Q2,MISSOURI,1900.0,12500.0,,500.0,4.0,3.1,1.0,1.6,6.2,7.4,5.1,1800.0,14.0
2015_Q2,OKLAHOMA,5500.0,27000.0,,2200.0,8.0,0.0,7.0,0.1,6.3,1.9,66.1,2200.0,8.0
2015_Q2,OTHER STATES,4140.0,11200.0,,1940.0,17.0,0.0,0.1,0.0,9.1,0.0,36.3,1960.0,18.0
2015_Q2,PENNSYLVANIA,8500.0,19000.0,,1600.0,8.0,2.6,6.7,1.6,5.8,2.1,11.4,2600.0,14.0
2015_Q2,SOUTH CAROLINA,1100.0,18500.0,,950.0,5.0,0.5,3.7,1.4,5.4,0.7,29.9,2000.0,11.0
2015_Q2,SOUTH DAKOTA,27000.0,290000.0,,21000.0,7.0,1.8,1.4,2.0,11.1,1.5,9.8,23000.0,8.0
2015_Q2,TENNESSEE,3600.0,7500.0,,730.0,10.0,1.8,2.6,9.8,26.3,3.0,47.8,920.0,12.0
2015_Q2,TEXAS,76000.0,315000.0,,33000.0,11.0,2.5,7.4,6.6,22.9,3.0,19.3,94000.0,30.0
2015_Q2,UTAH,10000.0,27000.0,,3400.0,13.0,1.5,5.6,12.3,10.8,1.2,27.2,3900.0,14.0
2015_Q2,VERMONT,580.0,6000.0,,100.0,2.0,0.1,1.3,0.0,1.9,0.1,3.7,50.0,1.0
2015_Q2,OREGON,14500.0,95000.0,,5500.0,6.0,13.2,5.8,16.0,20.9,0.4,39.3,9500.0,10.0
2015_Q2,MISSISSIPPI,5500.0,89000.0,,11000.0,12.0,0.3,2.3,0.1,6.0,1.7,10.1,10000.0,11.0
2015_Q2,MINNESOTA,20000.0,125000.0,,12500.0,10.0,1.4,10.1,16.5,6.2,9.3,25.4,21000.0,17.0
2015_Q2,MICHIGAN,13500.0,88000.0,,9500.0,11.0,0.6,16.4,9.1,13.0,3.1,26.9,5500.0,6.0
2015_Q2,ALABAMA,1900.0,7500.0,,860.0,12.0,0.0,3.2,2.3,42.5,4.1,16.7,680.0,9.0
2015_Q2,ARIZONA,19500.0,33000.0,,5500.0,17.0,0.5,28.2,20.1,32.1,0.3,8.4,7000.0,21.0
2015_Q2,ARKANSAS,11500.0,13500.0,,1900.0,14.0,7.0,27.4,22.6,63.4,9.3,65.9,5500.0,41.0
2015_Q2,CALIFORNIA,170000.0,1050000.0,,104000.0,10.0,7.8,14.2,23.0,21.5,3.1,50.9,285000.0,27.0
2015_Q2,COLORADO,6000.0,25000.0,,1900.0,8.0,4.6,3.4,2.8,1.8,6.6,38.6,3500.0,14.0
2015_Q2,CONNECTICUT,1100.0,3000.0,,80.0,3.0,1.9,1.0,0.8,0.4,0.7,10.2,150.0,5.0
2015_Q2,FLORIDA,44000.0,215000.0,,35000.0,16.0,2.7,13.6,17.7,26.4,5.4,44.2,24000.0,11.0
2015_Q2,GEORGIA,25000.0,124000.0,,23000.0,19.0,2.9,11.5,28.7,17.5,4.1,52.8,19000.0,15.0
2015_Q2,HAWAII,1100.0,13500.0,,120.0,1.0,0.3,3.2,0.1,61.0,0.1,60.1,1200.0,9.0
2015_Q2,IDAHO,16500.0,72000.0,,6500.0,9.0,6.5,13.7,6.0,6.7,0.3,25.5,10500.0,15.0
2015_Q2,ILLINOIS,6000.0,9500.0,,1300.0,14.0,0.2,2.3,2.5,3.7,2.4,10.3,1500.0,16.0
2015_Q2,INDIANA,4900.0,12500.0,,1300.0,10.0,7.0,4.4,0.5,1.8,2.0,15.4,4300.0,34.0
2015_Q2,IOWA,6500.0,24000.0,,1400.0,6.0,2.9,2.7,7.8,5.1,1.9,21.5,3100.0,13.0
2015_Q2,KANSAS,2800.0,7000.0,,670.0,10.0,0.9,3.5,0.1,2.4,4.9,14.4,420.0,6.0
2015_Q2,KENTUCKY,3600.0,8500.0,,980.0,12.0,5.3,9.5,1.8,18.2,2.9,21.7,1500.0,18.0
2015_Q2,LOUISIANA,6500.0,45000.0,,1800.0,4.0,0.2,5.0,1.1,3.7,0.5,36.4,8000.0,18.0
2015_Q2,MAINE,3500.0,30000.0,,3200.0,11.0,0.1,0.5,34.5,34.5,0.1,72.1,700.0,2.0
2015_Q2,MARYLAND,2600.0,11000.0,,370.0,3.0,0.2,1.6,2.5,1.3,1.5,4.9,710.0,7.0
2015_Q2,MASSACHUSETTS,940.0,14000.0,,320.0,2.0,0.2,4.4,61.8,61.7,3.1,66.8,510.0,4.0
2015_Q2,VIRGINIA,2100.0,7500.0,,270.0,4.0,1.8,3.0,0.2,13.0,4.5,26.2,430.0,6.0
2015_Q3,WASHINGTON,1800.0,97000.0,,11500.0,12.0,2.3,3.8,1.4,3.7,0.3,45.6,20000.0,21.0
2015_Q3,VIRGINIA,520.0,8000.0,,680.0,9.0,1.3,3.5,3.7,14.2,8.9,29.0,220.0,3.0
2015_Q3,WISCONSIN,1300.0,62000.0,,9000.0,15.0,8.3,12.6,20.9,20.1,13.5,47.3,4300.0,7.0
2015_Q3,MONTANA,3200.0,156000.0,,10500.0,7.0,10.7,6.4,2.3,16.4,5.3,52.5,10000.0,6.0
2015_Q3,NEBRASKA,500.0,77000.0,,6000.0,8.0,10.9,4.6,13.2,10.3,4.3,33.2,6000.0,8.0
2015_Q3,NEW JERSEY,190.0,18500.0,,210.0,1.0,0.1,1.1,0.0,1.0,0.7,7.2,500.0,3.0
2015_Q3,NEW MEXICO,1300.0,6500.0,,1600.0,25.0,55.0,55.5,58.0,55.0,0.7,61.2,650.0,10.0
2015_Q3,NEW YORK,4400.0,47000.0,,6500.0,14.0,5.7,8.8,17.1,14.3,1.5,40.0,7000.0,15.0
2015_Q3,NORTH CAROLINA,2500.0,24000.0,,2900.0,12.0,0.7,5.7,7.5,27.9,8.5,33.9,1100.0,5.0
2015_Q3,NORTH DAKOTA,11000.0,500000.0,,93000.0,19.0,8.1,4.1,12.3,15.5,3.7,33.8,22000.0,4.0
2015_Q3,OHIO,2300.0,23000.0,,1900.0,8.0,0.6,1.6,23.4,8.0,1.7,30.7,880.0,4.0
2015_Q3,MISSOURI,700.0,14000.0,,1200.0,9.0,3.0,2.1,2.0,11.7,1.4,11.1,630.0,5.0
2015_Q3,OKLAHOMA,160.0,22000.0,,230.0,1.0,0.1,0.6,0.1,2.3,0.4,1.6,190.0,1.0
2015_Q3,OTHER STATES,1050.0,12280.0,,900.0,7.0,0.0,0.7,0.4,0.2,0.2,8.8,700.0,6.0
2015_Q3,PENNSYLVANIA,1800.0,25000.0,,1800.0,7.0,3.7,7.2,5.1,11.3,0.8,45.1,2400.0,10.0
2015_Q3,SOUTH CAROLINA,880.0,12000.0,,2000.0,17.0,18.3,3.9,14.7,31.0,3.0,58.4,580.0,5.0
2015_Q3,SOUTH DAKOTA,2100.0,295000.0,,53000.0,18.0,2.0,1.9,7.1,7.3,5.7,22.0,13000.0,4.0
2015_Q3,TENNESSEE,500.0,10000.0,,1200.0,12.0,0.5,2.2,4.8,38.4,1.0,50.8,350.0,4.0
2015_Q3,TEXAS,5500.0,136000.0,,16500.0,12.0,1.3,4.7,19.4,26.0,5.2,30.7,4800.0,4.0
2015_Q3,UTAH,1400.0,36000.0,,8000.0,22.0,41.6,3.6,33.6,25.0,0.1,40.1,2200.0,6.0
2015_Q3,VERMONT,30.0,6500.0,,40.0,1.0,0.0,0.4,0.0,0.5,0.0,22.7,20.0,0.0
2015_Q3,OREGON,8000.0,100000.0,,8500.0,9.0,5.2,4.8,3.1,20.8,3.8,56.0,21000.0,21.0
2015_Q3,WYOMING,270.0,35000.0,,2500.0,7.0,6.4,2.0,3.4,11.0,0.4,28.5,440.0,1.0
2015_Q3,WEST VIRGINIA,300.0,7000.0,,300.0,4.0,1.0,3.0,1.5,5.3,1.1,21.7,270.0,4.0
2015_Q3,MICHIGAN,3300.0,89000.0,,7000.0,8.0,7.3,1.8,13.7,16.3,8.8,44.6,3800.0,4.0
2015_Q3,ALABAMA,160.0,9000.0,,1400.0,16.0,0.0,2.2,2.6,70.6,17.7,63.1,260.0,3.0
2015_Q3,ARIZONA,4300.0,40000.0,,6000.0,15.0,5.4,7.6,17.3,24.8,5.1,53.5,15500.0,39.0
2015_Q3,ARKANSAS,500.0,30000.0,,9000.0,30.0,0.9,1.8,5.0,32.4,1.4,69.2,210.0,1.0
2015_Q3,CALIFORNIA,40000.0,800000.0,,76000.0,10.0,12.5,15.0,19.6,20.4,4.7,39.9,93000.0,12.0
2015_Q3,COLORADO,1400.0,30000.0,,4500.0,15.0,2.7,3.7,16.5,1.5,2.7,50.5,1400.0,5.0
2015_Q3,CONNECTICUT,190.0,3700.0,,50.0,1.0,0.4,7.8,1.5,1.2,0.0,39.3,440.0,12.0
2015_Q3,FLORIDA,37000.0,220000.0,,36000.0,16.0,6.7,21.9,22.9,21.7,3.4,39.5,29000.0,13.0
2015_Q3,GEORGIA,19500.0,110000.0,,13000.0,12.0,3.6,8.9,21.2,16.2,3.6,47.6,15500.0,14.0
2015_Q3,MINNESOTA,640.0,136000.0,,32000.0,24.0,7.4,7.0,27.4,14.6,7.2,33.3,2300.0,2.0
2015_Q3,HAWAII,1200.0,14500.0,,2700.0,19.0,0.1,2.5,0.1,80.5,0.0,78.1,5500.0,38.0
2015_Q3,ILLINOIS,1300.0,14000.0,,1400.0,10.0,0.6,3.4,0.4,3.0,1.0,7.7,1100.0,8.0
2015_Q3,INDIANA,1400.0,15000.0,,1600.0,11.0,4.8,1.0,8.2,10.3,6.2,13.7,420.0,3.0
2015_Q3,IOWA,640.0,37000.0,,3000.0,8.0,0.1,5.6,4.7,5.8,3.4,17.4,680.0,2.0
2015_Q3,KANSAS,100.0,9500.0,,1000.0,11.0,0.2,14.8,14.1,16.2,1.7,22.5,160.0,2.0
2015_Q3,KENTUCKY,170.0,10000.0,,1300.0,13.0,1.2,9.0,6.5,11.3,2.0,40.4,550.0,6.0
2015_Q3,LOUISIANA,2300.0,55000.0,,2000.0,4.0,0.0,3.0,1.6,2.3,0.2,25.9,1800.0,3.0
2015_Q3,MAINE,410.0,6000.0,,450.0,8.0,13.2,2.6,0.0,3.4,7.8,9.9,140.0,2.0
2015_Q3,MARYLAND,730.0,7500.0,,680.0,9.0,2.9,7.1,22.8,19.1,2.0,26.9,70.0,1.0
2015_Q3,MASSACHUSETTS,290.0,7500.0,,560.0,8.0,0.4,2.5,2.1,2.9,0.3,16.3,400.0,5.0
2015_Q3,IDAHO,5500.0,128000.0,,14000.0,11.0,1.7,2.2,10.0,5.2,6.4,46.8,11500.0,9.0
2015_Q3,MISSISSIPPI,260.0,34000.0,,3500.0,10.0,0.0,3.8,1.1,2.2,1.4,45.5,110.0,0.0
2015_Q4,WISCONSIN,210.0,48000.0,,6500.0,14.0,2.5,6.6,21.9,15.6,21.4,49.4,10.0,0.0
2015_Q4,WYOMING,30.0,25000.0,,1300.0,5.0,6.6,11.3,10.5,3.3,3.9,45.0,0.0,0.0
2015_Q4,ALABAMA,80.0,8000.0,,610.0,8.0,0.2,2.8,0.2,6.4,1.9,3.1,60.0,1.0
2015_Q4,NEBRASKA,10.0,73000.0,,7000.0,10.0,0.2,0.4,0.3,0.0,1.7,15.5,5500.0,8.0
2015_Q4,NEW JERSEY,20.0,8500.0,,270.0,3.0,0.0,0.4,0.4,2.2,1.2,7.7,10.0,0.0
2015_Q4,NEW MEXICO,290.0,6000.0,,290.0,5.0,0.2,0.6,8.4,0.3,1.7,30.9,30.0,1.0
2015_Q4,NEW YORK,260.0,45000.0,,4000.0,9.0,0.8,0.4,0.9,2.2,6.2,24.5,10.0,0.0
2015_Q4,NORTH CAROLINA,510.0,22000.0,,2200.0,10.0,0.5,5.4,0.4,3.4,3.4,9.6,70.0,0.0
2015_Q4,NORTH DAKOTA,2700.0,275000.0,,35000.0,13.0,1.8,3.7,1.5,2.3,2.1,10.8,9000.0,3.0
2015_Q4,OHIO,200.0,19000.0,,2400.0,13.0,2.0,14.5,7.3,8.8,2.1,36.3,140.0,1.0
2015_Q4,OKLAHOMA,290.0,10000.0,,650.0,7.0,0.1,1.3,0.1,4.5,2.5,2.8,60.0,1.0
2015_Q4,OREGON,200.0,114000.0,,8500.0,8.0,1.5,1.7,1.5,1.3,1.5,16.4,1400.0,1.0
2015_Q4,OTHER STATES,100.0,12560.0,,1630.0,13.0,0.0,0.0,0.0,0.0,8.0,8.2,50.0,0.0
2015_Q4,PENNSYLVANIA,1300.0,23000.0,,2500.0,11.0,1.0,0.8,0.3,4.3,1.0,32.2,6500.0,28.0
2015_Q4,SOUTH CAROLINA,640.0,17500.0,,2200.0,13.0,0.4,5.8,1.7,2.9,0.0,14.2,1000.0,6.0
2015_Q4,SOUTH DAKOTA,2400.0,205000.0,,9000.0,4.0,1.9,2.4,7.1,3.0,4.1,16.8,0.0,0.0
2015_Q4,TENNESSEE,70.0,10000.0,,1100.0,11.0,0.0,7.1,4.6,28.3,3.6,43.6,420.0,4.0
2015_Q4,TEXAS,13000.0,250000.0,,25000.0,10.0,2.7,2.2,5.4,8.7,8.0,20.9,2000.0,1.0
2015_Q4,UTAH,120.0,28000.0,,1900.0,7.0,6.4,4.4,0.2,9.1,0.4,75.8,100.0,0.0
2015_Q4,VERMONT,10.0,6500.0,,940.0,15.0,0.9,0.4,0.6,16.8,15.6,57.1,10.0,0.0
2015_Q4,VIRGINIA,0.0,7500.0,,750.0,10.0,0.4,5.8,0.0,17.2,10.4,26.3,350.0,5.0
2015_Q4,WASHINGTON,330.0,89000.0,,6500.0,7.0,0.1,3.0,0.3,0.1,1.5,6.9,170.0,0.0
2015_Q4,MONTANA,1000.0,123000.0,,10000.0,8.0,14.4,3.2,11.4,19.8,13.9,35.5,80.0,0.0
2015_Q4,MISSOURI,30.0,13500.0,,690.0,5.0,3.3,0.8,0.1,6.0,1.5,2.8,40.0,0.0
2015_Q4,WEST VIRGINIA,190.0,7000.0,,610.0,9.0,1.3,8.2,3.0,4.5,0.6,18.8,140.0,2.0
2015_Q4,MINNESOTA,600.0,105000.0,,10000.0,10.0,8.4,3.8,25.0,8.7,8.9,43.6,40.0,0.0
2015_Q4,MISSISSIPPI,500.0,34000.0,,1500.0,4.0,0.3,0.7,0.0,2.5,1.3,10.6,230.0,1.0
2015_Q4,ARIZONA,3000.0,39000.0,,12000.0,31.0,1.1,0.5,3.5,1.7,15.5,50.1,16000.0,41.0
2015_Q4,ARKANSAS,1900.0,27000.0,,2400.0,9.0,0.1,8.5,8.2,9.7,0.6,38.1,0.0,0.0
2015_Q4,CALIFORNIA,39000.0,1260000.0,,149000.0,12.0,6.2,10.5,11.7,12.7,7.3,37.3,75000.0,6.0
2015_Q4,COLORADO,3400.0,24000.0,,2500.0,10.0,21.2,8.4,19.7,24.4,1.8,47.6,0.0,0.0
2015_Q4,CONNECTICUT,40.0,3200.0,,210.0,7.0,0.5,3.4,1.1,1.7,2.0,10.5,70.0,2.0
2015_Q4,GEORGIA,4400.0,121000.0,,18000.0,15.0,5.3,3.7,4.5,13.9,1.3,43.5,1900.0,2.0
2015_Q4,HAWAII,2700.0,13000.0,,690.0,5.0,0.2,0.0,0.0,33.9,0.0,31.0,760.0,6.0
2015_Q4,IDAHO,5500.0,145000.0,,22000.0,15.0,4.3,2.8,4.0,0.6,4.5,38.9,5500.0,4.0
2015_Q4,FLORIDA,30000.0,260000.0,,37000.0,14.0,2.5,3.0,6.8,18.4,4.2,27.3,28000.0,11.0
2015_Q4,INDIANA,140.0,11500.0,,1100.0,10.0,6.3,0.6,0.1,0.5,3.7,15.1,0.0,0.0
2015_Q4,IOWA,40.0,35000.0,,4300.0,12.0,0.6,24.8,6.4,0.9,1.4,53.4,30.0,0.0
2015_Q4,KANSAS,50.0,8500.0,,3400.0,40.0,0.2,33.9,25.1,24.8,19.0,44.5,20.0,0.0
2015_Q4,MICHIGAN,210.0,73000.0,,9000.0,12.0,0.0,3.2,4.1,4.1,3.7,30.2,1600.0,2.0
2015_Q4,KENTUCKY,20.0,8500.0,,1100.0,13.0,0.4,7.2,9.8,14.8,1.7,22.2,10.0,0.0
2015_Q4,LOUISIANA,1100.0,71000.0,,4900.0,7.0,0.0,2.4,0.6,1.0,0.2,10.9,2400.0,3.0
2015_Q4,MAINE,530.0,4700.0,,60.0,1.0,0.0,0.1,0.0,0.2,0.4,18.0,20.0,0.0
2015_Q4,MARYLAND,0.0,9500.0,,730.0,8.0,0.1,0.2,0.0,2.0,4.3,5.6,0.0,0.0
2015_Q4,MASSACHUSETTS,30.0,4500.0,,260.0,6.0,6.2,2.6,1.9,1.6,1.1,31.4,30.0,1.0
2015_Q4,ILLINOIS,0.0,14000.0,,690.0,5.0,0.3,1.0,0.9,2.5,3.1,9.4,30.0,0.0
2016_Q1,KENTUCKY,390.0,6500.0,,1300.0,20.0,0.7,12.5,6.3,9.0,8.4,23.6,40.0,1.0
