"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>"
"SURVEY","2023","APR THRU JUN","","STATE","KANSAS","20","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,500","","3,500","","300","","340","","10","","0.1","","3.4","","21.7","","2","","2","","35.5","","360","","10",""
"SURVEY","2023","APR THRU JUN","","STATE","KENTUCKY","21","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","960","","9,000","","190","","550","","6","","1","","0.5","","1.3","","2.9","","5.6","","8","","450","","5",""
"SURVEY","2023","APR THRU JUN","","STATE","LOUISIANA","22","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,700","","39,000","","2,100","","2,800","","7",""," (Z)","","24.7","","17.5","","3.6","","0.8","","32","","9,000","","23",""
"SURVEY","2023","APR THRU JUN","","STATE","MAINE","23","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","510","","15,500","","0","","1,000","","6","","3.9",""," (Z)","","4.7",""," (Z)","","0","","10.6","","1,100","","7",""
"SURVEY","2023","APR THRU JUN","","STATE","MARYLAND","24","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","690","","9,000","","30","","580","","6",""," (Z)","","0.5","","0","","0.6","","4.5","","11.7","","730","","8",""
"SURVEY","2023","APR THRU JUN","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,300","","10,500","","60","","1,500","","14","","0.7","","10.6",""," (Z)",""," (Z)","","1.6","","28.2","","510","","5",""
"SURVEY","2023","APR THRU JUN","","STATE","MICHIGAN","26","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","9,000","","72,000","","2,400","","4,200","","6","","1.8","","3.3","","2.1","","1.7","","10.3","","16.5","","2,300","","3",""
"SURVEY","2023","APR THRU JUN","","STATE","MINNESOTA","27","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","7,500","","76,000","","1,400","","2,600","","3",""," (Z)","","1.1","","10.1","","2.1","","7.7","","13","","1,700","","2",""
"SURVEY","2023","APR THRU JUN","","STATE","MISSISSIPPI","28","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","12,500","","74,000","","1,100","","3,200","","4","","1","","9.1","","3.2","","3.5","","2.4","","12.6","","8,000","","11",""
"SURVEY","2023","APR THRU JUN","","STATE","MISSOURI","29","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,600","","9,500","","40","","390","","4","","0.8","","4.8","","0.5","","6.4","","3.4","","13.1","","910","","10",""
"SURVEY","2023","APR THRU JUN","","STATE","MONTANA","30","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","22,000","","97,000","","330","","4,500","","5","","2.1","","6.5","","2.9",""," (Z)",""," (Z)","","23.7","","18,500","","19",""
"SURVEY","2023","APR THRU JUN","","STATE","NEBRASKA","31","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","10,000","","28,000","","280","","1,200","","4","","0.6","","0.6","","0.5","","3.9","","3.7","","26.8","","1,900","","7",""
"SURVEY","2023","APR THRU JUN","","STATE","NEW JERSEY","34","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,000","","16,500","","340","","720","","4","","0.8","","2.5",""," (Z)","","3.6","","1.1","","13.2","","520","","3",""
"SURVEY","2023","APR THRU JUN","","STATE","NEW MEXICO","35","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","530","","4,300","","40","","230","","5","","1.3","","1.1","","0.7","","0.6",""," (Z)","","4","","250","","6",""
"SURVEY","2023","APR THRU JUN","","STATE","NEW YORK","36","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","6,500","","52,000","","360","","1,800","","3","","2.2","","9.3","","2.3","","9.1",""," (Z)","","24.7","","2,100","","4",""
"SURVEY","2023","APR THRU JUN","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","9,000","","28,000","","150","","2,300","","8","","0.9","","1.6",""," (Z)","","8.8","","2.5","","28.8","","5,500","","20",""
"SURVEY","2023","APR THRU JUN","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","33,000","","395,000","","820","","7,000","","2","","2.7","","1.3","","6.9","","6.9",""," (Z)","","60.5","","4,100","","1",""
"SURVEY","2023","APR THRU JUN","","STATE","OHIO","39","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","8,500","","18,500","","20","","1,300","","7","","0.7","","1","","5.7","","33.5","","4.4","","65.3","","5,000","","27",""
"SURVEY","2023","APR THRU JUN","","STATE","OKLAHOMA","40","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","6,000","","13,000","","0","","320","","2","","0","","0.7","","0","","0.9",""," (Z)","","4","","2,900","","22",""
"SURVEY","2023","APR THRU JUN","","STATE","OREGON","41","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","29,000","","95,000","","3,800","","17,500","","18","","3.5","","4.3","","14.3","","9.3",""," (Z)","","27.9","","31,000","","33",""
"SURVEY","2023","APR THRU JUN","","STATE","OTHER STATES","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,690","","32,320","","","","1,170","","4","","3.3","","0.5","","2.1","","3.5",""," (Z)","","10.6","","3,600","","11",""
"SURVEY","2023","APR THRU JUN","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","8,000","","29,000","","1,900","","1,700","","6","","2.7","","1.1","","6.9","","7.2","","1.1","","13.8","","2,200","","8",""
"SURVEY","2023","APR THRU JUN","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,300","","17,500","","190","","1,000","","6","","0.7","","15.8",""," (Z)","","5.7","","2.7","","32.2","","2,600","","15",""
"SURVEY","2023","APR THRU JUN","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","8,500","","137,000","","1,000","","2,500","","2",""," (Z)","","1.4","","5.8","","7.1","","0.8","","13.7","","25,000","","18",""
"SURVEY","2023","APR THRU JUN","","STATE","TENNESSEE","47","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,800","","13,500","","190","","920","","7","","0","","2.8",""," (Z)","","1.5","","1.8","","13.3","","2,600","","19",""
"SURVEY","2023","APR THRU JUN","","STATE","TEXAS","48","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","85,000","","370,000","","1,900","","16,000","","4","","10.9","","30.1","","12.1","","42.3","","10.2","","46.8","","118,000","","32",""
"SURVEY","2023","APR THRU JUN","","STATE","UTAH","49","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","9,500","","18,500","","2,800","","3,700","","20","","25.5","","28.6","","28","","33.6",""," (Z)","","55","","2,500","","14",""
"SURVEY","2023","APR THRU JUN","","STATE","VERMONT","50","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","990","","9,500","","0","","160","","2","","0",""," (Z)","","0.8","","0.5","","1.2","","9.7","","210","","2",""
"SURVEY","2023","APR THRU JUN","","STATE","VIRGINIA","51","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,800","","10,500","","140","","670","","6","","0.8","","6.6","","0","","7.5","","3","","23.3","","1,300","","12",""
"SURVEY","2023","APR THRU JUN","","STATE","WASHINGTON","53","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","18,500","","123,000","","2,400","","14,000","","11","","6.1","","4.3","","9.2","","1",""," (Z)","","41.6","","15,500","","13",""
"SURVEY","2023","APR THRU JUN","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,400","","6,500","","0","","350","","5","","1.8","","1.8","","0","","3.2","","0.8","","31.1","","1,000","","15",""
"SURVEY","2023","APR THRU JUN","","STATE","WISCONSIN","55","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,900","","52,000","","60","","570","","1","","47.8","","48.1","","49.2","","9.8","","46.8","","67.2","","1,300","","3",""
"SURVEY","2023","APR THRU JUN","","STATE","WYOMING","56","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","5,000","","19,000","","150","","1,400","","7","","0","","2.3","","0","","10.9","","2.5","","17.2","","2,200","","12",""
"SURVEY","2023","JAN THRU MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","384,790","","","","107,630","","373,880","","14","","7.4","","14.8","","10.1","","13.6","","11.2","","39.7","","113,440","","4",""
"SURVEY","2023","JAN THRU MAR","","STATE","ALABAMA","01","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,000","","14,000","","210","","1,400","","10","","0.7","","9.9","","1.5","","18.3","","8.3","","31.9","","880","","6",""
"SURVEY","2023","JAN THRU MAR","","STATE","ARIZONA","04","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","290","","34,000","","450","","510","","2","","0",""," (Z)",""," (Z)","","0","","0.5","","72.9","","80",""," (Z)",""
"SURVEY","2023","JAN THRU MAR","","STATE","ARKANSAS","05","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,200","","23,000","","1,300","","2,200","","10","","5.3","","2","","24.7","","51.4","","5.9","","62.2","","10",""," (Z)",""
"SURVEY","2023","JAN THRU MAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","88,000","","1,330,000","","19,000","","196,000","","15","","11.3","","23","","14.1","","18.2","","16.7","","48.7","","48,000","","4",""
"SURVEY","2023","JAN THRU MAR","","STATE","COLORADO","08","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","500","","10,000","","150","","520","","5","","0","","0.9",""," (Z)","","0","","1.4","","1.8","","0","","0",""
"SURVEY","2023","JAN THRU MAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","480","","4,000","","100","","360","","9","","0","","2.8","","0.1","","1.8","","7.2","","10.8","","70","","2",""
"SURVEY","2023","JAN THRU MAR","","STATE","FLORIDA","12","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","51,000","","305,000","","6,500","","34,000","","11","","3.5","","4.2","","5.6","","11.1","","8.5","","28.1","","18,500","","6",""
"SURVEY","2023","JAN THRU MAR","","STATE","GEORGIA","13","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","18,500","","121,000","","4,900","","13,000","","11",""," (Z)","","1.7","","7.7","","1.3","","7.4","","31.2","","8,000","","7",""
"SURVEY","2023","JAN THRU MAR","","STATE","IDAHO","16","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,000","","167,000","","14,000","","12,500","","7",""," (Z)","","1.2","","5.3","","2.8","","6","","12.1","","8,000","","5",""
"SURVEY","2023","JAN THRU MAR","","STATE","ILLINOIS","17","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,700","","9,500","","520","","1,800","","19","","0.6","","10.5","","0.9","","9","","10","","21.5","","320","","3",""
"SURVEY","2023","JAN THRU MAR","","STATE","INDIANA","18","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,200","","7,000","","200","","1,300","","19",""," (Z)","","6","","0","","4.5","","2.3","","24.8","","40","","1",""
"SURVEY","2023","JAN THRU MAR","","STATE","IOWA","19","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","10,500","","53,000","","830","","1,700","","3","","1.3","","1.4","","2.2","","1","","3.2","","26.9","","240",""," (Z)",""
"SURVEY","2023","JAN THRU MAR","","STATE","KANSAS","20","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","940","","3,900","","180","","490","","13","","0.8","","8.9","","5.4","","2.7","","2.7","","20.9","","20","","1",""
"SURVEY","2023","JAN THRU MAR","","STATE","KENTUCKY","21","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","260","","10,500","","420","","1,100","","10","","0.6","","3.2","","1.7","","5.9","","9.4","","16.6","","80","","1",""
"SURVEY","2023","JAN THRU MAR","","STATE","LOUISIANA","22","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","6,000","","38,000","","3,500","","4,800","","13","","2.4","","2.9","","2","","10","","6","","48.2","","3,700","","10",""
"SURVEY","2023","JAN THRU MAR","","STATE","MAINE","23","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","190","","7,500","","10","","290","","4","","0","","0.8","","1.5","","0","","2.5","","16.8","","130","","2",""
"SURVEY","2023","JAN THRU MAR","","STATE","MARYLAND","24","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","670","","6,000","","330","","1,100","","18","","2.5","","7.3","","0","","4.7","","3.9","","16.4","","140","","2",""
"SURVEY","2023","JAN THRU MAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","180","","8,000","","110","","820","","10","","1.5","","5.2","","0","","2.7","","1.8","","9.6","","80","","1",""
"SURVEY","2023","JAN THRU MAR","","STATE","MICHIGAN","26","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","330","","64,000","","180","","9,000","","14","","0.5","","1.1","","1.2","","0.6","","1.7","","6.5","","2,100","","3",""
"SURVEY","2023","JAN THRU MAR","","STATE","MINNESOTA","27","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","4,000","","52,000","","6,000","","1,100","","2","","0.8","","1.3",""," (Z)",""," (Z)","","1.4","","9.2","","1,600","","3",""
"SURVEY","2023","JAN THRU MAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","65,000","","37,000","","270","","2,300","","6","","1.1","","15.4","","7.5","","9.6","","2.7","","19.6","","4,100","","11",""
"SURVEY","2023","JAN THRU MAR","","STATE","MISSOURI","29","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,900","","6,500","","150","","940","","14","","0","","3.6","","0","","4.3","","9.5","","12.7","","100","","2",""
"SURVEY","2023","JAN THRU MAR","","STATE","MONTANA","30","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","6,000","","45,000","","2,200","","70",""," (Z)","","0","","0",""," (Z)","","0",""," (Z)","","0.6","","0","","0",""
"SURVEY","2023","JAN THRU MAR","","STATE","NEBRASKA","31","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","0","","23,000","","2,700","","1,100","","5",""," (Z)","","4.3","","0",""," (Z)",""," (Z)","","8.2","","0","","0",""
"SURVEY","2023","JAN THRU MAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,100","","12,500","","460","","1,300","","10",""," (Z)","","1.7","","0","","6.7","","3.8","","20","","110","","1",""
"SURVEY","2023","JAN THRU MAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","460","","8,500","","20","","4,600","","54","","64.8","","0.9","","1",""," (Z)","","1.4","","84.2","","760","","9",""
"SURVEY","2023","JAN THRU MAR","","STATE","NEW YORK","36","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","560","","40,000","","3,500","","8,000","","20","","22.6","","3.9","","1.4","","10.3","","4.9","","33.5","","510","","1",""
"SURVEY","2023","JAN THRU MAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,200","","30,000","","1,200","","4,100","","14",""," (Z)","","4.5",""," (Z)","","6.1","","2.5","","22.5","","2,800","","9",""
"SURVEY","2023","JAN THRU MAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,700","","89,000","","3,200","","2,400","","3","","0","","0.6",""," (Z)","","0","","0","","16.2","","1,000","","1",""
"SURVEY","2023","JAN THRU MAR","","STATE","OHIO","39","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,200","","19,500","","390","","2,500","","13","","0","","20.1","","11.5","","10.6","","4.3","","37.8","","160","","1",""
"SURVEY","2023","JAN THRU MAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","10","","17,000","","30","","1,600","","9","","0","","2.8",""," (Z)","","1.1",""," (Z)","","4.7","","0","","0",""
"SURVEY","2023","JAN THRU MAR","","STATE","OREGON","41","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","11,500","","87,000","","5,500","","8,000","","9","","6","","11.4",""," (Z)","","13.1","","2","","28.7","","500","","1",""
"SURVEY","2023","JAN THRU MAR","","STATE","OTHER STATES","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,580","","31,650","","","","730","","2","","13.6","","1.1","","0","","19",""," (Z)","","27.2","","470","","1",""
"SURVEY","2023","JAN THRU MAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,800","","28,000","","2,600","","4,800","","17","","2.5","","2","","0.7","","4.6","","7.7","","20.9","","490","","2",""
"SURVEY","2023","JAN THRU MAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,700","","16,500","","20","","1,700","","10","","0","","10.4",""," (Z)","","7.3","","7.4","","32.2","","800","","5",""
"SURVEY","2023","JAN THRU MAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","0","","58,000","","1,200","","2,200","","4",""," (Z)","","1.8",""," (Z)","","0","","1","","2.7","","0","","0",""
